model,dataset,lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,params,flops,sec_per_epoch,peak_mem,n_seeds
nlinear,ETTh1,336,96,0.384263,0.004715067655930296,0.4046546666666666,0.0037056084970397674,32352,64512,0.8608666666666668,70.4,3
nlinear,ETTh1,336,192,0.4132913333333333,0.0005897468383410958,0.42067366666666667,0.0004550564067600015,64704,129024,0.6565,71.4,3
nlinear,ETTh1,336,336,0.43828566666666663,0.001557274007146287,0.436953,0.001866747706574196,113232,225792,0.5880000000000001,73.0,3
nlinear,ETTh1,336,720,0.44416133333333335,0.0003928006279696397,0.459038,0.0003789406285950486,242640,483840,0.8376666666666667,77.1,3
nlinear,ETTh2,96,96,0.2984173333333333,0.000133665004145927,0.3471423333333334,0.00010150041050820546,9312,18432,0.6294333333333334,69.2,3
nlinear,ETTh2,96,192,0.38461733333333337,0.0001932907999190179,0.399102,0.00023643815258964828,18624,36864,0.7807666666666666,69.8,3
nlinear,ETTh2,96,336,0.42453199999999996,0.0012424133772621913,0.4340976666666667,0.0004948144433354214,32592,64512,0.6759666666666666,70.8,3
nlinear,ETTh2,96,720,0.4304156666666667,0.0003356550808990268,0.449574,0.00026734247698410933,69840,138240,0.7193333333333333,73.5,3
nlinear,ETTh2,336,96,0.2827153333333334,0.001412102451429546,0.3440456666666667,0.0005506744349734494,32352,64512,0.6718000000000001,70.4,3
nlinear,ETTh2,336,192,0.3472036666666667,0.0028097831470298837,0.3856933333333334,0.0013286949737744047,64704,129024,1.0357,71.4,3
nlinear,ETTh2,336,336,0.384446,0.013231462957662695,0.41526833333333335,0.005861062816020094,113232,225792,0.6536,73.0,3
