model,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,flops_per_series,sec_per_epoch,peak_gpu_mem_mb,epochs_run,lookback_label
dlinear,ETTm1,336,720,2022,0.424715,0.420329,0.864203,485280,967680,3.8750,81.9,10,L336
dlinear,ETTm1,336,720,2023,0.432495,0.430892,0.850567,485280,967680,3.3673,81.9,5,L336
rlinear,ETTm1,336,720,2021,0.429021,0.417512,0.961007,242642,483840,3.7829,77.7,9,L336
rlinear,ETTm1,336,720,2022,0.433975,0.419546,0.962283,242642,483840,3.7440,77.7,6,L336
rlinear,ETTm1,336,720,2023,0.429295,0.417392,0.960900,242642,483840,3.7876,77.7,8,L336
fits,ETTm1,336,720,2021,0.427541,0.416351,0.963891,11352,44352,4.7163,76.1,17,L336
fits,ETTm1,336,720,2022,0.427525,0.416356,0.963894,11352,44352,4.1549,76.1,17,L336
fits,ETTm1,336,720,2023,0.427525,0.416325,0.963746,11352,44352,4.3823,76.1,17,L336
freqlite,ETTm1,336,720,2021,0.428795,0.417412,0.960365,487445,1024076,8.5885,85.8,7,L336
freqlite,ETTm1,336,720,2022,0.427895,0.416393,0.960198,487445,1024076,7.2907,85.8,10,L336
freqlite,ETTm1,336,720,2023,0.427556,0.416295,0.959992,487445,1024076,7.2579,85.8,9,L336
patchtst,ETTm1,336,720,2021,0.432247,0.439096,1.015452,2006802,0,15.2123,183.4,4,L336
patchtst,ETTm1,336,720,2022,0.434546,0.439253,1.011142,2006802,0,15.0927,183.4,5,L336
patchtst,ETTm1,336,720,2023,0.420692,0.429161,0.995388,2006802,0,15.0349,183.4,4,L336
naive,ETTm2,336,96,2021,0.266462,0.327765,0.206417,0,0,0.0000,67.8,0,L336
naive,ETTm2,336,96,2022,0.266462,0.327765,0.206417,0,0,0.0000,67.8,0,L336
naive,ETTm2,336,96,2023,0.266462,0.327765,0.206417,0,0,0.0000,67.8,0,L336
nlinear,ETTm2,336,96,2021,0.166958,0.256837,0.118223,32352,64512,182.6570,70.4,9,L336
nlinear,ETTm2,336,96,2022,0.167999,0.257187,0.118272,32352,64512,20.2854,70.4,7,L336
